states,pop2020
Alabama,"25,328"
Alaska,"4,578"
Arizona,"37,731"
Arkansas,"16,094"
California,"97,328"
Colorado,"16,168"
Connecticut,"9,559"
Delaware,"4,710"
Florida,"81,027"
Georgia,"47,141"
Hawaii,"4,171"
Idaho,"8,171"
Illinois,"29,729"
Indiana,"23,944"
Iowa,"8,307"
Kansas,"8,779"
Kentucky,"18,552"
Louisiana,"26,964"
Maine,"1,714"
Maryland,"15,623"
Massachusetts,"6,762"
Michigan,"33,617"
Minnesota,"8,148"
Mississippi,"17,577"
Missouri,"23,062"
Montana,"3,927"
Nebraska,"5,306"
Nevada,"11,422"
New Hampshire,"2,352"
New Jersey,"12,830"
New Mexico,"5,500"
New York,"34,128"
North Carolina,"29,461"
North Dakota,"1,401"
Ohio,"45,036"
Oklahoma,"22,462"
Oregon,"12,753"
Pennsylvania,"39,357"
Rhode Island,"2,227"
South Carolina,"16,157"
South Dakota,"3,250"
Tennessee,"22,685"
Texas,"135,906"
Utah,"5,446"
Vermont,"1,284"
Virginia,"31,838"
Washington,"15,724"
West Virginia,"6,044"
Wisconsin,"20,298"
Wyoming,"2,087"
